#MIN=0	-20	0	0
#MAX=3200	120	100	100
#SCALE=3200	50	50	50
#DEC=0	1	1	1
#DEF="Zeit" t / s	"Temperatur" &J_B12 / °C	"Neue Größe" f_1	"Neue Größe" f_2
#0	-128,13366707625	0	0
#1	-129,058959383942	1	0
#2,001	-129,749611710674	2,001	0
#3	-129,984251691635	3	0
#4	-130,520688633751	4	0
#5	-130,446897845481	5	0
#6,001	-130,674904018367	6,001	0
#7,001	-130,983334787597	7,001	0
#8	-130,983334787597	8	0
#9,001	-130,909543999327	9,001	0
#10,002	-130,829119402982	10,002	0
#11,001	-130,601113230096	11,001	0
#12,001	-130,446897845481	12,001	0
#13	-130,520688633751	13	0
#14	-130,601113230096	14	0
#15	-130,674904018367	15	0
#16	-130,13846707625	16	0
#17	-130,292682460865	17	0
#18	-130,212257864521	18	0
#19	-129,90382709529	19	0
20	-129,675820922404	20	0
21	-129,521605537789	21	0
22	-129,367390153173	22	0
23	-129,213174768558	23	0
24	-128,904743999327	24	0
25	-128,750528614712	25	0
26	-128,824319402982	26	0
27	-128,442097845481	27	0
28,001	-128,515888633751	28,001	0
29,001	-128,361673249136	29,001	0
30,001	-127,979451691635	30,001	0
31,001	-128,053242479905	31,001	0
32	-127,744811710674	32	0
33	-127,744811710674	33	0
34	-127,744811710674	34	0
35	-127,362590153173	35	0
36	-127,436380941444	36	0
37	-127,054159383942	37	0
38	-127,054159383942	38	0
39	-126,591513230096	39	0
40,001	-126,283082460866	40,001	0
41,001	-126,12886707625	41,001	0
42	-126,12886707625	42	0
43,001	-125,666220922404	43,001	0
44,001	-125,89422709529	44,001	0
45,001	-125,89422709529	45,001	0
46	-125,512005537789	46	0
47	-125,357790153173	47	0
48	-125,277365556828	48	0
49	-124,895143999327	49	0
50	-124,968934787598	50	0
51	-124,586713230096	51	0
52	-124,506288633751	52	0
53	-124,352073249136	53	0
54	-124,12406707625	54	0
55	-123,969851691635	55	0
56	-123,661420922404	56	0
57	-123,507205537789	57	0
58	-123,198774768558	58	0
59	-123,044559383942	59	0
60	-122,581913230096	60	0
61	-122,809919402982	61	0
62	-122,273482460865	62	0
63,001	-122,273482460865	63,001	0
64	-121,810836307019	64	0
65,001	-121,810836307019	65,001	0
66	-121,656620922404	66	0
67	-121,502405537789	67	0
68	-121,348190153173	68	0
69	-121,267765556828	69	0
70	-120,959334787597	70	0
71	-120,731328614712	71	0
72,001	-120,731328614712	72,001	0
73,002	-120,268682460866	73,002	0
74,001	-120,11446707625	74,001	0
75,001	-120,342473249136	75,001	0
76,001	-119,963738385351	76,001	0
77,001	-119,749680858861	77,001	0
78,001	-119,468305420264	78,001	0
79	-119,400987508158	79	0
80	-119,186929981668	80	0
81	-119,119612069561	81	0
82	-118,905554543071	82	0
83	-118,764866823773	83	0
84	-118,483491385177	84	0
85	-118,275485753772	85	0
86	-118,275485753772	86	0
87	-118,061428227282	87	0
88	-117,994110315176	88	0
89	-117,431359437983	89	0
90	-117,431359437983	90	0
91	-117,290671718684	91	0
92	-117,076614192194	92	0
93	-116,727920841491	93	0
94	-116,86860856079	94	0
95	-116,935926472896	95	0
95,999	-116,587233122193	95,999	0
96,999	-116,232487876405	96,999	0
98,001	-115,951112437808	98,001	0
99	-115,883794525702	99	0
100	-115,602419087105	100	0
101	-115,81042471851	101	0
102	-115,388361560615	102	0
103	-115,039668209912	103	0
104	-115,180355929211	104	0
105	-114,825610683422	105	0
106	-114,617605052018	106	0
107,001	-114,617605052018	107,001	0
108,001	-114,336229613421	108,001	0
109	-114,544235244826	109	0
110,001	-114,195541894123	110,001	0
111,001	-113,914166455526	111,001	0
112,001	-113,773478736228	112,001	0
113,001	-113,700108929036	113,001	0
114	-113,492103297632	114	0
115	-113,210727859035	115	0
116	-113,070040139737	116	0
117	-113,137358051843	117	0
118	-112,78866470114	118	0
119	-112,507289262544	119	0
120	-112,507289262544	120	0
121	-112,366601543246	121	0
122	-112,085226104649	122	0
123	-111,944538385351	123	0
124	-112,011856297457	124	0
125	-111,944538385351	125	0
126	-111,522475227456	126	0
127	-111,167729981668	127	0
128	-110,959724350263	128	0
129	-110,959724350263	129	0
130	-110,678348911667	130	0
131	-110,678348911667	131	0
131,999	-110,745666823773	131,999	0
133	-110,464291385177	133	0
134	-110,39697347307	134	0
135	-110,115598034474	135	0
136,001	-110,18291594658	136,001	0
137	-109,901540507984	137	0
138,001	-109,552847157281	138,001	0
139,001	-109,204114969916	139,001	0
140	-109,130783999386	140	0
141,001	-109,130783999386	141,001	0
142,001	-108,84940856079	142,001	0
143,001	-108,708720841491	143,001	0
144,001	-108,427345402895	144,001	0
145,001	-108,494663315001	145,001	0
146,001	-108,286657683597	146,001	0
147,001	-108,286657683597	147,001	0
148,001	-108,072600157106	148,001	0
149	-107,864594525702	149	0
150	-107,723906806404	150	0
151	-107,79122471851	151	0
152	-107,301843648509	152	0
153	-107,369161560615	153	0
154	-107,020468209912	154	0
155	-106,879780490614	155	0
156	-106,598405052018	156	0
157	-106,457717332719	157	0
158	-106,525035244826	158	0
159	-106,035654174825	159	0
160,004	-106,176341894123	160,004	0
161	-105,894966455526	161	0
162	-105,546234268162	162	0
163	-105,61359101693	163	0
164	-105,472903297632	164	0
165	-105,332215578333	165	0
165,999	-105,050840139737	165,999	0
166,999	-105,050840139737	166,999	0
167,999	-104,76946470114	167,999	0
169	-104,561420233074	169	0
170	-104,347401543246	170	0
171	-104,414719455352	171	0
172,001	-104,206713823947	172,001	0
173	-104,066026104649	173	0
174,001	-103,857981636583	174,001	0
